label,zcr,cent,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10
kick,0.013133081896551725,1029.8850471437938,-496.6874694824219,39.8228874206543,24.141447067260742,30.057628631591797,23.299177169799805,21.504079818725586,19.540796279907227,17.939435958862305,14.063239097595215,12.514103889465332
kick,0.011078933189655173,984.7879514471601,-524.8528442382812,35.44098663330078,26.593551635742188,28.747438430786133,22.11622428894043,21.799203872680664,20.025588989257812,18.12864112854004,14.210822105407715,13.734689712524414
kick,0.02038433908045977,1374.5650607285384,-502.23028564453125,33.8248291015625,24.034589767456055,26.341136932373047,20.781784057617188,19.696016311645508,17.205509185791016,14.027266502380371,11.985316276550293,12.424646377563477
kick,0.022752783764367818,943.2305864277707,-529.6902465820312,43.381103515625,24.74248504638672,18.481250762939453,13.198862075805664,13.392499923706055,11.158628463745117,7.644504547119141,4.0203657150268555,1.942018747329712
kick,0.03374191810344827,1621.88448531831,-501.61431884765625,46.3292350769043,19.28961753845215,20.226709365844727,16.31247901916504,16.710201263427734,13.082326889038086,12.521350860595703,8.633506774902344,7.857179164886475
kick,0.0054103807471264365,739.0054405010529,-484.9214782714844,39.72301483154297,23.328968048095703,33.995784759521484,26.64971351623535,24.319538116455078,26.367826461791992,22.44730567932129,19.033140182495117,18.116485595703125
kick,0.02138335129310345,1236.8312342765335,-493.95928955078125,35.42902374267578,22.820415496826172,27.602272033691406,22.49308204650879,20.092981338500977,19.119464874267578,16.49237060546875,13.499856948852539,13.902838706970215
kick,0.021675197557471264,1269.8272140424979,-453.8096618652344,27.185321807861328,13.047396659851074,15.515130043029785,12.790863037109375,12.501036643981934,12.089516639709473,10.766465187072754,8.30774974822998,6.602117538452148
kick,0.02963923311781609,1156.6338548331544,-449.1269836425781,23.33167839050293,8.791289329528809,14.840270042419434,8.209237098693848,9.530768394470215,9.34490966796875,8.0811767578125,7.548691272735596,9.169962882995605
kick,0.018397539511494254,670.26841365345,-532.8272705078125,31.943408966064453,17.710817337036133,12.833717346191406,9.84970760345459,9.167211532592773,6.307710647583008,5.406599044799805,4.609918594360352,4.172146797180176
kick,0.019828708692528736,1452.7651676074895,-464.31219482421875,29.446609497070312,13.67041015625,17.02511978149414,12.254228591918945,11.775856018066406,9.561254501342773,6.9707746505737305,6.160937786102295,6.363698482513428
kick,0.028382049209770114,1102.9538710699862,-514.590087890625,36.38908767700195,11.064722061157227,14.526137351989746,9.980754852294922,11.139951705932617,9.794499397277832,9.257381439208984,6.619726657867432,6.029055595397949
kick,0.016674524066091954,1302.6924452267872,-511.44427490234375,31.527742385864258,21.990869522094727,26.853055953979492,20.413503646850586,20.24855613708496,17.844202041625977,16.856420516967773,14.555432319641113,12.483360290527344
kick,0.037384383979885055,1717.2059111437295,-522.3021850585938,30.121557235717773,16.34286117553711,22.011863708496094,13.943570137023926,15.210235595703125,15.124573707580566,11.965436935424805,10.354646682739258,7.907115936279297
kick,0.01696075790229885,906.5637004610444,-537.4076538085938,29.824848175048828,18.296661376953125,21.677265167236328,16.876102447509766,14.519207000732422,13.38632583618164,11.754338264465332,8.237619400024414,6.439295768737793
kick,0.021282327586206896,1143.3514576911348,-464.70147705078125,41.93339920043945,23.853290557861328,22.214977264404297,15.765466690063477,14.70419979095459,9.725793838500977,8.174802780151367,5.088351726531982,3.3387832641601562
kick,0.020951194324712645,1312.9567467038933,-509.606201171875,33.266204833984375,22.309724807739258,26.45564842224121,19.994794845581055,19.876367568969727,19.35638999938965,15.38935661315918,12.121542930603027,11.463751792907715
kick,0.01440149066091954,1195.2913858547292,-500.34210205078125,32.899925231933594,19.64390754699707,26.68834114074707,20.769229888916016,21.007518768310547,18.681503295898438,17.322708129882812,15.727416038513184,14.155196189880371
kick,0.020193516522988505,1126.830904761458,-483.0286560058594,23.820310592651367,12.619962692260742,14.627396583557129,10.689401626586914,10.733981132507324,9.807230949401855,8.281908988952637,6.777353763580322,6.431685447692871
kick,0.02319616558908046,1485.646855242628,-449.29296875,26.05898094177246,13.255216598510742,18.491783142089844,11.475266456604004,12.96564769744873,11.790548324584961,9.880823135375977,7.601138114929199,9.324298858642578
kick,0.02442528735632184,1099.7650555744117,-478.66046142578125,19.722768783569336,10.791072845458984,10.719280242919922,9.320046424865723,10.068734169006348,8.052252769470215,6.223269939422607,5.468501091003418,5.306491851806641
kick,0.031227550287356323,1702.3451064075061,-499.4154968261719,31.28772735595703,14.974615097045898,22.590700149536133,16.18648910522461,14.632248878479004,15.802109718322754,13.655333518981934,12.243934631347656,11.90212345123291
kick,0.018217941810344827,1015.2083928153747,-482.1310119628906,43.985626220703125,26.6569766998291,29.00722312927246,23.00100326538086,21.39995574951172,16.02239418029785,12.818559646606445,9.478235244750977,8.009531021118164
kick,0.04066765445402299,1098.7136774622202,-476.9222717285156,36.18258285522461,7.697003364562988,7.410040378570557,5.687467575073242,9.729416847229004,7.816270351409912,5.447624206542969,3.6837148666381836,4.080340385437012
kick,0.0072175826149425285,801.1551954905332,-490.0620422363281,37.270565032958984,22.247041702270508,28.970977783203125,23.809368133544922,22.591060638427734,20.394697189331055,19.746931076049805,18.754295349121094,16.779932022094727
kick,0.016646461925287355,1317.9466472628937,-493.1184997558594,34.16578674316406,22.926191329956055,26.031906127929688,21.182668685913086,20.09014892578125,18.83309555053711,15.97339153289795,13.070196151733398,12.575478553771973
kick,0.012195806393678161,1013.3859658652108,-505.1611022949219,36.435733795166016,25.853975296020508,29.91064453125,23.723634719848633,23.0123348236084,21.48133659362793,20.348434448242188,17.395170211791992,15.663252830505371
kick,0.01915521731321839,1264.2674959602546,-504.23602294921875,33.73533248901367,22.21917152404785,28.82807731628418,21.59258460998535,20.70326805114746,20.87694549560547,17.36277198791504,13.82778263092041,13.568989753723145
kick,0.03040813577586207,1494.695124409084,-462.2415466308594,23.550018310546875,11.211488723754883,17.141399383544922,9.932424545288086,11.088990211486816,11.157093048095703,9.437357902526855,8.339613914489746,9.480729103088379
kick,0.022696659482758622,1484.2211994789134,-512.4421997070312,34.32308578491211,15.354852676391602,25.62640953063965,18.371450424194336,15.675503730773926,18.497421264648438,15.225969314575195,12.881245613098145,13.265188217163086
kick,0.010512077945402298,743.586410925406,-433.6845397949219,61.864498138427734,24.82718849182129,26.11836051940918,19.258140563964844,16.27398109436035,14.211125373840332,13.488741874694824,10.162081718444824,8.509125709533691
kick,0.042609554597701146,1305.1608987926609,-506.5789794921875,34.689796447753906,12.577802658081055,20.025123596191406,13.173890113830566,11.981972694396973,9.276366233825684,9.181602478027344,6.441587448120117,5.345862865447998
kick,0.01098913433908046,1047.2577091841988,-483.7933654785156,37.33297348022461,22.960073471069336,23.547441482543945,17.033885955810547,15.918457984924316,12.18083381652832,9.847028732299805,6.9001688957214355,5.289717674255371
kick,0.03856299389367816,1778.56307009755,-492.997314453125,37.584571838378906,13.791997909545898,16.36433982849121,12.530437469482422,12.892718315124512,10.610209465026855,9.352357864379883,7.408088207244873,6.38198184967041
kick,0.022517061781609195,1342.280928589043,-520.2311401367188,33.8336181640625,23.75200080871582,29.231395721435547,20.91238021850586,20.977109909057617,19.996967315673828,15.551180839538574,12.401102066040039,12.236750602722168
kick,0.026776894755747127,1275.137548548034,-455.2519226074219,20.54008674621582,10.154550552368164,15.366975784301758,9.029897689819336,9.886548042297363,9.551974296569824,7.806758403778076,7.148516654968262,8.437843322753906
kick,0.010175332255747127,864.2846249921234,-456.9550476074219,38.783348083496094,20.03324317932129,21.014604568481445,15.609787940979004,13.968579292297363,10.631604194641113,8.09257984161377,5.338479518890381,4.408905029296875
kick,0.005887437140804598,409.2181180999345,-455.1634826660156,56.741798400878906,29.524076461791992,29.637022018432617,21.816877365112305,19.395479202270508,17.614355087280273,16.34537124633789,14.005712509155273,12.319125175476074
kick,0.015591325431034482,825.1019692650403,-466.1427307128906,19.044923782348633,10.662591934204102,15.688940048217773,11.832560539245605,10.581426620483398,10.958455085754395,9.273550987243652,7.04957389831543,6.408512592315674
kick,0.017499551005747127,1212.6308373064403,-494.0974426269531,34.41798400878906,20.87035369873047,28.1701602935791,22.621797561645508,20.324678421020508,21.064865112304688,19.298734664916992,15.822319984436035,14.147534370422363
snare,0.07635708512931035,1711.9194578956594,-486.4429626464844,63.751747131347656,-2.791041135787964,0.8327396512031555,-9.98511791229248,-8.360450744628906,-13.43830680847168,-6.754428863525391,-6.93086051940918,-6.126870155334473
snare,0.07022270114942529,2378.328193588305,-490.16949462890625,64.69197082519531,22.55716896057129,9.220388412475586,-9.788814544677734,-5.290101051330566,-6.493973731994629,-1.0982286930084229,-2.070389747619629,-1.4769279956817627
snare,0.06533988864942529,1680.1138901718616,-470.4632873535156,68.60224914550781,-17.86005210876465,-24.705541610717773,-30.996545791625977,-10.287086486816406,-9.686423301696777,-3.9773125648498535,-2.1516647338867188,-2.001164197921753
snare,0.2440227640086207,3795.4002584907835,-517.1466674804688,30.283018112182617,-2.8928093910217285,-0.3680708110332489,-4.896378517150879,1.8855985403060913,-1.9263639450073242,-6.478564739227295,-11.592743873596191,-3.33803653717041
snare,0.034942977729885055,1286.2377137612375,-488.358154296875,39.10610580444336,12.755624771118164,17.440025329589844,3.076561212539673,1.2927147150039673,-5.1010966300964355,-3.4163761138916016,-7.429729461669922,-9.951254844665527
snare,0.21330594468390804,3643.382609907321,-470.02203369140625,44.690860748291016,8.148058891296387,9.718040466308594,-0.2945703864097595,1.6410332918167114,-3.266167402267456,0.7558171153068542,-4.693615913391113,-3.178480863571167
snare,0.07266410739942529,1896.88791140009,-481.7324523925781,53.217105865478516,5.744554042816162,5.991968631744385,-6.852349758148193,-1.2633851766586304,-6.190897464752197,-4.830480098724365,-6.938352584838867,-3.3587615489959717
snare,0.0677869073275862,1621.1114486431713,-528.5578002929688,60.255123138427734,2.447453737258911,5.531584739685059,-9.175707817077637,-8.731622695922852,-12.474142074584961,-7.362546920776367,-8.609846115112305,-8.705286026000977
snare,0.06114740481321839,2536.865797921473,-433.3703308105469,58.42571258544922,23.158924102783203,23.44050407409668,-1.2548975944519043,-4.636363983154297,-13.856748580932617,-8.608877182006836,-8.480859756469727,-6.699055194854736
